person_id,primary_name,birth_year,death_year,primary_profession
455767,Agustín Laguilhoat,,,"actor,writer"
532364,Agustin Mayor,1935,1968,actor
583604,Agustín Méndez,,,actor
621183,Agustín Palermo,,,actor
753153,Agustín Silva,,,actor
898178,Agustín Zaragoza,,2012,actor
148486,Agustina Cherri,1983,,"actress,writer,director"
13460,Ah-Lei Gua,1944,,"actress,music_department"
151795,Ah Chong Choy,1890,1974,actor
32521,Ahmad Ardalan,,,sound_department
63138,Ahmad Bedair,1945,,actor
239758,Ahmad El-Fishawi,1980,,actor
286121,Ahmad Galal,1897,1947,"director,actor,writer"
603012,Ahmad Nurradin,1956,,actor
1031380,Ahmad Pradhn,,,
42494,Ahmed Azoum,,,actor
66797,Ahmed Ben Diab,,,composer
76289,Ahmed Beydoun,,,writer
1044863,Ahmed el-Sakka,1973,,actor
939182,Ahmed Elbarghothy,,,"director,writer,producer"
990857,Ahmed Fahmy,,,"art_department,visual_effects"
510112,Ahmed Malek,,,composer
516788,Ahmed Marei,,,actor
669713,Ahmed Ramzy,,,producer
740400,Ahmed Senquiz,,,camera_department
897203,Ahmed Zaki,1949,2005,"actor,soundtrack,music_department"
415368,Ahmet Karabolut,,,actor
805635,Ahmet Tarik Tekçe,1920,1964,actor
829891,Ahmet Ugurlu,1952,,"actor,producer"
619208,Ahna Packard,,,"art_department,miscellaneous"
1016651,Ahsan Khan,,,editor
426904,Aï Keïta,,,actress
437369,Ai Kobayashi,1973,,actress
826237,Aiace Tugnoli,1983,,actor
94288,Aïcha Bouacheria,,,actress
49250,Aida Banaji,,,
990766,Aida Folch,1986,,"actress,art_department,camera_department"
563229,Aida Mohammadkhani,,,actress
828041,Aida Turturro,1962,,"actress,soundtrack"
211331,Aidan Devine,,,actor
254454,Aidan Farrell,,,"editorial_department,visual_effects,camera_department"
302369,Aidan Gillen,1968,,"actor,writer,producer"
422372,Aidan Kelly,,,actor
664639,Aidan Quinn,,,"assistant_director,miscellaneous"
39344,Aileen Attoh,,,actress
659033,Aileen Pringle,1895,1989,actress
664640,Aileen Quinn,1971,,"soundtrack,actress"
800550,Aileen Tan,1966,,"actress,soundtrack"
767683,Aili Solvio,,,actress
166621,Ailish Connolly,,,actress
294206,Ailo Gaup,,,actor
106647,Aimee Brooks,1974,,"actress,producer,director"
156566,Aimée Clarke,,,actress
169931,Aimee Copp,,,
270486,Aimée Fontenay,,,"actress,miscellaneous"
289429,Aimee Garcia,1978,,"actress,producer,soundtrack"
95410,Aimée Jeanne Bourgon,,,actress
149806,Aimilios Heilakis,,,actor
466175,Aine Lawlor,,,
322299,Aingeal Grehan,,,actress
956052,Aino Kettunen,,,actress
717993,Aira Samulin,1927,,actress
910067,Aisha Dubone,,,actress
278277,Aisha Freeman,,,actress
941853,Aisha Ricketts,,,actress
667487,Aishwarya Rai Bachchan,1973,,"actress,soundtrack"
338950,Aisla Hamilton,,,actress
170462,Aisling Corcoran,1984,,actress
955184,Aisling Thompson,,,"sound_department,miscellaneous,actress"
533100,Aïssa Maïga,1975,,"actress,director,soundtrack"
29274,Ait Ansari,,,actor
930396,Aitana Etxeberria,,,actress
797183,Aitana Sánchez-Gijón,1968,,actress
752960,Aivars Silins,1947,2016,actor
1019477,Aj Eason,,,actor
235793,Aja Echols,,,actress
157670,Ajae Clearway,,,"sound_department,producer,assistant_director"
211177,Ajay Devgn,1969,,"actor,producer,music_department"
585515,Ajay Naidu,1972,,"actor,director,writer"
435347,Aje Klinthe,,,actor
208818,Ajinkya Deo,1960,,"actor,producer,writer"
1047295,Ajit,,,
49523,Ajit Banerjee,,,"art_director,actor,director"
879274,Ajita Wilson,1950,1987,actress
1010327,Ajith Kumar,,,camera_department
416970,Ajju Kasam,,,"actor,miscellaneous"
15130,Ajlan Aktug,1942,1997,actor
519665,Akaji Maro,1943,,"actor,director,script_department"
64821,Akaki Beliashvili,1903,1961,writer
427707,Akaki Khorava,1895,1972,actor
23214,Akara Amarttayakul,1974,,actor
904816,Akasya Asiltürkmen,,,actress
8137,Akbar Abdi,1958,,actor
550096,Akbar Meshkin,,,actor
139218,Åke Cato,1934,2016,"writer,actor,script_department"
155206,Åke Claesson,1889,1967,actor
326918,Åke Grönberg,1914,1969,"actor,soundtrack,writer"
773688,Åke Spångert,1916,1998,
589977,Akemi Negishi,1934,2008,actress
609802,Akemi Okamura,1969,,"actress,soundtrack"
957392,Akemi Tejima,,,animation_department
17475,Aki Aleong,1934,,"actor,producer,director"
41416,Aki Avni,1967,,"actor,producer,director"
335979,Aki Hakala,1979,,"soundtrack,actor,music_department"
418889,Aki Kaurismäki,1957,,"producer,writer,director"
506349,Aki Maeda,1985,,actress
612924,Aki Onohara,,,actress
561723,Akihiro Miwa,1935,,"actor,soundtrack,executive"
